date,amazon_net_revenue_usd_bln,amazon_market_share_pct,ecommerce_market_total_usd_bln,yoy_growth_amazon_pct,yoy_growth_market_pct,quarter,segment_north_america_usd_bln,segment_international_usd_bln,segment_aws_usd_bln
2019-01-01,59.7,38.7,154.3,17.0,14.2,Q1,35.8,16.2,7.7
2019-04-01,63.4,39.1,162.1,19.9,15.0,Q2,38.0,17.2,8.2
2019-07-01,63.4,39.4,160.9,20.0,15.3,Q3,38.3,17.0,9.1
2019-10-01,87.4,39.8,219.6,20.8,15.7,Q4,53.5,23.0,9.9
2020-01-01,75.5,40.4,186.9,26.4,17.5,Q1,46.1,19.1,10.2
2020-04-01,88.9,41.0,216.8,40.2,19.2,Q2,55.4,22.7,10.8
2020-07-01,96.1,41.8,229.9,37.4,21.0,Q3,59.4,25.2,11.6
2020-10-01,125.6,42.5,295.5,38.0,23.1,Q4,79.3,32.3,12.7
2021-01-01,108.5,41.3,262.6,43.7,21.5,Q1,64.4,27.0,13.5
2021-04-01,113.1,40.8,277.2,27.2,19.8,Q2,67.5,28.3,14.8
2021-07-01,110.8,40.2,275.6,15.3,18.2,Q3,65.6,27.7,16.1
2021-10-01,137.4,40.0,343.5,9.4,17.0,Q4,82.4,32.9,17.8
2022-01-01,116.4,38.7,300.8,7.3,15.8,Q1,69.2,28.8,18.4
2022-04-01,121.2,38.2,317.3,7.2,14.5,Q2,74.4,27.1,19.7
2022-07-01,127.1,37.9,335.4,14.7,13.8,Q3,78.8,27.7,20.5
2022-10-01,149.2,37.5,397.9,8.6,13.2,Q4,93.4,34.5,21.4
2023-01-01,127.4,37.6,338.8,9.4,12.7,Q1,76.9,29.1,21.4
2023-04-01,134.4,37.8,355.6,10.9,12.1,Q2,82.5,29.7,23.0
2023-07-01,143.1,38.0,376.6,13.0,12.4,Q3,87.9,32.1,23.4
2023-10-01,169.9,38.3,443.4,13.8,12.9,Q4,105.5,40.2,24.2
2024-01-01,143.3,38.5,372.2,12.5,13.3,Q1,86.3,33.5,25.0
2024-04-01,148.0,38.7,382.4,10.1,13.8,Q2,91.1,31.9,26.3
2024-07-01,158.9,38.9,408.5,11.1,14.2,Q3,95.5,35.9,27.5
2024-10-01,187.8,39.1,480.3,10.5,14.6,Q4,115.6,43.4,28.8
